Id,Generation [z],color
0,0,#FF0000
1,0,#AAAAAA
2,0,#FF0000
3,0,#FF0000
4,0,#FF00FF
5,0,#FF0000
6,0,#00FFFF
7,0,#FFFF00
8,0,#AAAAAA
9,0,#00FF00
10,1,#FF00FF
11,1,#FF00FF
12,1,#AAAAAA
13,1,#FFFF00
14,1,#AAAAAA
15,1,#AAAAAA
16,1,#00FFFF
17,1,#AAAAAA
18,1,#FF0000
19,1,#FF0000
20,2,#AAAAAA
21,2,#FF0000
22,2,#FF00FF
23,2,#AAAAAA
24,2,#AAAAAA
25,2,#AAAAAA
26,2,#AAAAAA
27,2,#FF0000
28,2,#FFFF00
29,2,#00FF00
30,3,#FF00FF
31,3,#00FFFF
32,3,#AAAAAA
33,3,#AAAAAA
34,3,#AAAAAA
35,3,#AAAAAA
36,3,#AAAAAA
37,3,#AAAAAA
38,3,#AAAAAA
39,3,#FFFF00
40,4,#AAAAAA
41,4,#AAAAAA
42,4,#FF00FF
43,4,#AAAAAA
44,4,#AAAAAA
45,4,#00FFFF
46,4,#AAAAAA
47,4,#AAAAAA
48,4,#AAAAAA
49,4,#AAAAAA
50,5,#AAAAAA
51,5,#FF0000
52,5,#FF00FF
53,5,#FF00FF
54,5,#AAAAAA
55,5,#AAAAAA
56,5,#00FFFF
57,5,#AAAAAA
58,5,#AAAAAA
59,5,#AAAAAA
60,6,#AAAAAA
61,6,#FF00FF
62,6,#AAAAAA
63,6,#AAAAAA
64,6,#AAAAAA
65,6,#00FFFF
66,6,#FF00FF
67,6,#AAAAAA
68,6,#AAAAAA
69,6,#FF0000
70,7,#AAAAAA
71,7,#AAAAAA
72,7,#AAAAAA
73,7,#AAAAAA
74,7,#AAAAAA
75,7,#AAAAAA
76,7,#AAAAAA
77,7,#AAAAAA
78,7,#FF00FF
79,7,#AAAAAA
80,8,#AAAAAA
81,8,#AAAAAA
82,8,#AAAAAA
83,8,#AAAAAA
84,8,#AAAAAA
85,8,#AAAAAA
86,8,#AAAAAA
87,8,#FF00FF
88,8,#AAAAAA
89,8,#AAAAAA
90,9,#AAAAAA
91,9,#AAAAAA
92,9,#AAAAAA
93,9,#AAAAAA
94,9,#AAAAAA
95,9,#FF00FF
96,9,#FF00FF
97,9,#FF00FF
98,9,#AAAAAA
99,9,#AAAAAA
100,10,#AAAAAA
101,10,#AAAAAA
102,10,#AAAAAA
103,10,#FF00FF
104,10,#FF00FF
105,10,#FF0000
106,10,#AAAAAA
107,10,#AAAAAA
108,10,#AAAAAA
109,10,#FF00FF
110,11,#AAAAAA
111,11,#AAAAAA
112,11,#AAAAAA
113,11,#AAAAAA
114,11,#AAAAAA
115,11,#FF00FF
116,11,#AAAAAA
117,11,#AAAAAA
118,11,#AAAAAA
119,11,#FF00FF
120,12,#AAAAAA
121,12,#FFFF00
122,12,#AAAAAA
123,12,#FF00FF
124,12,#AAAAAA
125,12,#AAAAAA
126,12,#AAAAAA
127,12,#AAAAAA
128,12,#AAAAAA
129,12,#AAAAAA
130,13,#AAAAAA
131,13,#AAAAAA
132,13,#AAAAAA
133,13,#AAAAAA
134,13,#AAAAAA
135,13,#AAAAAA
136,13,#AAAAAA
137,13,#AAAAAA
138,13,#FFFF00
139,13,#AAAAAA
140,14,#AAAAAA
141,14,#AAAAAA
142,14,#FF00FF
143,14,#AAAAAA
144,14,#AAAAAA
145,14,#AAAAAA
146,14,#AAAAAA
147,14,#AAAAAA
148,14,#AAAAAA
149,14,#AAAAAA
150,15,#AAAAAA
151,15,#AAAAAA
152,15,#AAAAAA
153,15,#AAAAAA
154,15,#AAAAAA
155,15,#AAAAAA
156,15,#AAAAAA
157,15,#AAAAAA
158,15,#AAAAAA
159,15,#AAAAAA
160,16,#AAAAAA
161,16,#AAAAAA
162,16,#AAAAAA
163,16,#FF00FF
164,16,#AAAAAA
165,16,#AAAAAA
166,16,#AAAAAA
167,16,#AAAAAA
168,16,#AAAAAA
169,16,#AAAAAA
170,17,#AAAAAA
171,17,#FF00FF
172,17,#AAAAAA
173,17,#AAAAAA
174,17,#AAAAAA
175,17,#AAAAAA
176,17,#AAAAAA
177,17,#AAAAAA
178,17,#AAAAAA
179,17,#AAAAAA
180,18,#AAAAAA
181,18,#AAAAAA
182,18,#AAAAAA
183,18,#AAAAAA
184,18,#AAAAAA
185,18,#AAAAAA
186,18,#AAAAAA
187,18,#AAAAAA
188,18,#AAAAAA
189,18,#AAAAAA
190,19,#AAAAAA
191,19,#AAAAAA
192,19,#AAAAAA
193,19,#AAAAAA
194,19,#AAAAAA
195,19,#AAAAAA
196,19,#AAAAAA
197,19,#AAAAAA
198,19,#AAAAAA
199,19,#AAAAAA
200,20,#AAAAAA
201,20,#AAAAAA
202,20,#AAAAAA
203,20,#AAAAAA
204,20,#AAAAAA
205,20,#AAAAAA
206,20,#AAAAAA
207,20,#AAAAAA
208,20,#AAAAAA
209,20,#AAAAAA
210,21,#AAAAAA
211,21,#AAAAAA
212,21,#AAAAAA
213,21,#AAAAAA
214,21,#AAAAAA
215,21,#AAAAAA
216,21,#AAAAAA
217,21,#AAAAAA
218,21,#AAAAAA
219,21,#AAAAAA
220,22,#AAAAAA
221,22,#AAAAAA
222,22,#AAAAAA
223,22,#AAAAAA
224,22,#AAAAAA
225,22,#AAAAAA
226,22,#AAAAAA
227,22,#AAAAAA
228,22,#AAAAAA
229,22,#AAAAAA
230,23,#AAAAAA
231,23,#AAAAAA
232,23,#AAAAAA
233,23,#AAAAAA
234,23,#AAAAAA
235,23,#AAAAAA
236,23,#AAAAAA
237,23,#AAAAAA
238,23,#AAAAAA
239,23,#AAAAAA
240,24,#AAAAAA
241,24,#AAAAAA
242,24,#AAAAAA
243,24,#AAAAAA
244,24,#AAAAAA
245,24,#AAAAAA
246,24,#AAAAAA
247,24,#AAAAAA
248,24,#AAAAAA
249,24,#AAAAAA
250,25,#AAAAAA
251,25,#AAAAAA
252,25,#AAAAAA
253,25,#AAAAAA
254,25,#AAAAAA
255,25,#AAAAAA
256,25,#AAAAAA
257,25,#FFFF00
258,25,#FF00FF
259,25,#AAAAAA
260,26,#AAAAAA
261,26,#AAAAAA
262,26,#FF00FF
263,26,#AAAAAA
264,26,#AAAAAA
265,26,#AAAAAA
266,26,#AAAAAA
267,26,#AAAAAA
268,26,#AAAAAA
269,26,#AAAAAA
270,27,#AAAAAA
271,27,#AAAAAA
272,27,#AAAAAA
273,27,#AAAAAA
274,27,#AAAAAA
275,27,#AAAAAA
276,27,#AAAAAA
277,27,#AAAAAA
278,27,#AAAAAA
279,27,#AAAAAA
280,28,#AAAAAA
281,28,#AAAAAA
282,28,#AAAAAA
283,28,#AAAAAA
284,28,#AAAAAA
285,28,#AAAAAA
286,28,#AAAAAA
287,28,#AAAAAA
288,28,#AAAAAA
289,28,#AAAAAA
290,29,#AAAAAA
291,29,#AAAAAA
292,29,#AAAAAA
293,29,#AAAAAA
294,29,#AAAAAA
295,29,#AAAAAA
296,29,#AAAAAA
297,29,#AAAAAA
298,29,#AAAAAA
299,29,#AAAAAA
300,30,#AAAAAA
301,30,#AAAAAA
302,30,#AAAAAA
303,30,#AAAAAA
304,30,#AAAAAA
305,30,#AAAAAA
306,30,#AAAAAA
307,30,#AAAAAA
308,30,#AAAAAA
309,30,#AAAAAA
310,31,#AAAAAA
311,31,#AAAAAA
312,31,#AAAAAA
313,31,#AAAAAA
314,31,#AAAAAA
315,31,#AAAAAA
316,31,#AAAAAA
317,31,#AAAAAA
318,31,#AAAAAA
319,31,#AAAAAA
320,32,#AAAAAA
321,32,#AAAAAA
322,32,#AAAAAA
323,32,#AAAAAA
324,32,#AAAAAA
325,32,#AAAAAA
326,32,#AAAAAA
327,32,#AAAAAA
328,32,#AAAAAA
329,32,#AAAAAA
330,33,#AAAAAA
331,33,#AAAAAA
332,33,#AAAAAA
333,33,#AAAAAA
334,33,#AAAAAA
335,33,#AAAAAA
336,33,#AAAAAA
337,33,#AAAAAA
338,33,#AAAAAA
339,33,#AAAAAA
340,34,#AAAAAA
341,34,#AAAAAA
342,34,#AAAAAA
343,34,#AAAAAA
344,34,#AAAAAA
345,34,#AAAAAA
346,34,#AAAAAA
347,34,#AAAAAA
348,34,#AAAAAA
349,34,#AAAAAA
350,35,#AAAAAA
351,35,#AAAAAA
352,35,#AAAAAA
353,35,#AAAAAA
354,35,#AAAAAA
355,35,#AAAAAA
356,35,#AAAAAA
357,35,#AAAAAA
358,35,#AAAAAA
359,35,#AAAAAA
360,36,#AAAAAA
361,36,#AAAAAA
362,36,#AAAAAA
363,36,#AAAAAA
364,36,#AAAAAA
365,36,#AAAAAA
366,36,#AAAAAA
367,36,#AAAAAA
368,36,#AAAAAA
369,36,#AAAAAA
370,37,#AAAAAA
371,37,#AAAAAA
372,37,#AAAAAA
373,37,#AAAAAA
374,37,#AAAAAA
375,37,#AAAAAA
376,37,#FF00FF
377,37,#AAAAAA
378,37,#AAAAAA
379,37,#AAAAAA
380,38,#AAAAAA
381,38,#AAAAAA
382,38,#AAAAAA
383,38,#AAAAAA
384,38,#AAAAAA
385,38,#AAAAAA
386,38,#AAAAAA
387,38,#AAAAAA
388,38,#AAAAAA
389,38,#AAAAAA
390,39,#AAAAAA
391,39,#AAAAAA
392,39,#AAAAAA
393,39,#AAAAAA
394,39,#AAAAAA
395,39,#AAAAAA
396,39,#AAAAAA
397,39,#AAAAAA
398,39,#AAAAAA
399,39,#AAAAAA
