Id,Generation [z],color
0,0,#AAAAAA
1,0,#0000FF
2,0,#00FF00
3,0,#00FFFF
4,0,#00FF00
5,0,#FFFF00
6,0,#FF00FF
7,0,#FF00FF
8,0,#0000FF
9,0,#FFFF00
10,1,#FFFF00
11,1,#FFFF00
12,1,#AAAAAA
13,1,#AAAAAA
14,1,#AAAAAA
15,1,#AAAAAA
16,1,#AAAAAA
17,1,#00FFFF
18,1,#AAAAAA
19,1,#FF0000
20,2,#FFFF00
21,2,#AAAAAA
22,2,#AAAAAA
23,2,#FF0000
24,2,#AAAAAA
25,2,#AAAAAA
26,2,#FFFF00
27,2,#00FFFF
28,2,#AAAAAA
29,2,#AAAAAA
30,3,#FFFF00
31,3,#AAAAAA
32,3,#00FFFF
33,3,#FFFF00
34,3,#AAAAAA
35,3,#FFFF00
36,3,#0000FF
37,3,#FF0000
38,3,#FFFF00
39,3,#00FFFF
40,4,#AAAAAA
41,4,#FF00FF
42,4,#00FFFF
43,4,#FFFF00
44,4,#0000FF
45,4,#AAAAAA
46,4,#AAAAAA
47,4,#FFFF00
48,4,#FF0000
49,4,#AAAAAA
50,5,#00FFFF
51,5,#FFFF00
52,5,#FF0000
53,5,#00FFFF
54,5,#FFFF00
55,5,#00FF00
56,5,#AAAAAA
57,5,#AAAAAA
58,5,#AAAAAA
59,5,#AAAAAA
60,6,#FFFF00
61,6,#00FFFF
62,6,#AAAAAA
63,6,#00FFFF
64,6,#00FFFF
65,6,#FFFF00
66,6,#AAAAAA
67,6,#00FFFF
68,6,#FF00FF
69,6,#FFFF00
70,7,#AAAAAA
71,7,#00FF00
72,7,#FFFF00
73,7,#FF0000
74,7,#FFFF00
75,7,#FFFF00
76,7,#FFFF00
77,7,#00FFFF
78,7,#00FFFF
79,7,#FFFF00
80,8,#AAAAAA
81,8,#FF0000
82,8,#00FFFF
83,8,#FFFF00
84,8,#0000FF
85,8,#FFFF00
86,8,#AAAAAA
87,8,#AAAAAA
88,8,#AAAAAA
89,8,#00FFFF
90,9,#AAAAAA
91,9,#AAAAAA
92,9,#00FF00
93,9,#0000FF
94,9,#00FF00
95,9,#FFFF00
96,9,#0000FF
97,9,#FF00FF
98,9,#0000FF
99,9,#00FFFF
100,10,#00FF00
101,10,#0000FF
102,10,#FFFF00
103,10,#AAAAAA
104,10,#00FF00
105,10,#FF00FF
106,10,#FFFF00
107,10,#FFFF00
