Id,Generation [z],color
282,28,#00FFFF
283,28,#AAAAAA
284,28,#AAAAAA
285,28,#AAAAAA
286,28,#FF00FF
287,28,#AAAAAA
288,28,#AAAAAA
289,28,#AAAAAA
290,29,#AAAAAA
291,29,#00FFFF
292,29,#AAAAAA
293,29,#FFFF00
294,29,#FFFF00
295,29,#AAAAAA
296,29,#AAAAAA
297,29,#AAAAAA
298,29,#AAAAAA
299,29,#00FFFF
300,30,#00FFFF
301,30,#AAAAAA
302,30,#AAAAAA
303,30,#00FFFF
304,30,#AAAAAA
305,30,#AAAAAA
306,30,#AAAAAA
307,30,#FFFF00
308,30,#AAAAAA
309,30,#FF0000
310,31,#AAAAAA
311,31,#00FFFF
312,31,#00FFFF
313,31,#AAAAAA
314,31,#AAAAAA
315,31,#AAAAAA
316,31,#AAAAAA
317,31,#AAAAAA
318,31,#00FFFF
319,31,#FF00FF
320,32,#AAAAAA
321,32,#AAAAAA
322,32,#AAAAAA
323,32,#00FF00
324,32,#AAAAAA
325,32,#AAAAAA
326,32,#AAAAAA
327,32,#AAAAAA
328,32,#00FFFF
329,32,#AAAAAA
330,33,#AAAAAA
331,33,#00FFFF
332,33,#00FFFF
333,33,#FF0000
334,33,#AAAAAA
335,33,#00FFFF
336,33,#AAAAAA
337,33,#00FFFF
338,33,#00FF00
339,33,#AAAAAA
340,34,#AAAAAA
341,34,#AAAAAA
342,34,#00FF00
343,34,#AAAAAA
344,34,#AAAAAA
345,34,#AAAAAA
346,34,#AAAAAA
347,34,#AAAAAA
348,34,#AAAAAA
349,34,#000000
350,35,#AAAAAA
351,35,#FFFF00
352,35,#AAAAAA
353,35,#AAAAAA
354,35,#AAAAAA
355,35,#AAAAAA
356,35,#AAAAAA
357,35,#AAAAAA
358,35,#00FFFF
359,35,#AAAAAA
360,36,#AAAAAA
361,36,#AAAAAA
362,36,#00FFFF
363,36,#AAAAAA
364,36,#AAAAAA
365,36,#AAAAAA
366,36,#FFFF00
367,36,#AAAAAA
368,36,#AAAAAA
369,36,#AAAAAA
370,37,#AAAAAA
371,37,#AAAAAA
372,37,#AAAAAA
373,37,#AAAAAA
374,37,#AAAAAA
375,37,#00FFFF
376,37,#AAAAAA
377,37,#AAAAAA
378,37,#AAAAAA
379,37,#AAAAAA
380,38,#AAAAAA
381,38,#00FFFF
382,38,#AAAAAA
383,38,#AAAAAA
384,38,#AAAAAA
385,38,#AAAAAA
386,38,#AAAAAA
387,38,#AAAAAA
388,38,#AAAAAA
389,38,#00FFFF
390,39,#AAAAAA
391,39,#AAAAAA
392,39,#AAAAAA
393,39,#AAAAAA
394,39,#AAAAAA
395,39,#AAAAAA
396,39,#AAAAAA
397,39,#AAAAAA
398,39,#00FFFF
399,39,#AAAAAA
400,40,#AAAAAA
401,40,#FF00FF
402,40,#AAAAAA
403,40,#AAAAAA
404,40,#AAAAAA
405,40,#AAAAAA
406,40,#FFFF00
407,40,#AAAAAA
408,40,#AAAAAA
409,40,#AAAAAA
410,41,#AAAAAA
411,41,#AAAAAA
412,41,#AAAAAA
413,41,#FFFF00
414,41,#AAAAAA
415,41,#00FFFF
416,41,#AAAAAA
417,41,#AAAAAA
418,41,#AAAAAA
419,41,#AAAAAA
420,42,#AAAAAA
421,42,#AAAAAA
422,42,#AAAAAA
423,42,#AAAAAA
424,42,#FFFF00
425,42,#AAAAAA
426,42,#AAAAAA
427,42,#AAAAAA
428,42,#AAAAAA
429,42,#AAAAAA
430,43,#AAAAAA
431,43,#AAAAAA
432,43,#AAAAAA
433,43,#AAAAAA
434,43,#AAAAAA
435,43,#FFFF00
436,43,#AAAAAA
437,43,#AAAAAA
438,43,#AAAAAA
439,43,#FFFF00
440,44,#AAAAAA
441,44,#AAAAAA
442,44,#AAAAAA
443,44,#AAAAAA
444,44,#AAAAAA
445,44,#AAAAAA
446,44,#AAAAAA
447,44,#AAAAAA
448,44,#FFFF00
449,44,#AAAAAA
450,45,#FFFF00
451,45,#FFFF00
452,45,#AAAAAA
453,45,#AAAAAA
454,45,#FFFF00
455,45,#AAAAAA
456,45,#FF00FF
457,45,#AAAAAA
458,45,#AAAAAA
459,45,#AAAAAA
460,46,#AAAAAA
461,46,#AAAAAA
462,46,#AAAAAA
463,46,#FF00FF
464,46,#AAAAAA
465,46,#AAAAAA
466,46,#FFFF00
467,46,#00FFFF
468,46,#FF00FF
469,46,#AAAAAA
470,47,#AAAAAA
471,47,#AAAAAA
472,47,#AAAAAA
473,47,#AAAAAA
474,47,#AAAAAA
475,47,#AAAAAA
476,47,#AAAAAA
477,47,#AAAAAA
478,47,#00FFFF
479,47,#FF0000
480,48,#FF0000
481,48,#AAAAAA
482,48,#AAAAAA
483,48,#AAAAAA
484,48,#FFFF00
485,48,#FF00FF
486,48,#AAAAAA
487,48,#AAAAAA
488,48,#AAAAAA
489,48,#AAAAAA
490,49,#AAAAAA
491,49,#AAAAAA
492,49,#AAAAAA
493,49,#AAAAAA
494,49,#FFFF00
495,49,#AAAAAA
496,49,#AAAAAA
497,49,#AAAAAA
498,49,#FF00FF
499,49,#AAAAAA
